name,transfer_fee,market_value_in_eur,days_left_on_contract,age,position,height_in_cm,is_left_footed,is_tier1_nation,adjusted_goals_season1,adjusted_assists_season1,adjusted_clean_sheet_season1,goals_conceded_per_90_season1,minutes_played_season1,adjusted_goals_season2,adjusted_assists_season2,adjusted_clean_sheet_season2,goals_conceded_per_90_season2,minutes_played_season2,season,to_club_name
Alexander Sørloth,20000000.0,20000000.0,2890.0,25,Attack,195.0,1,0,21.305999999999997,8.139,4.1899999999999995,1.4367160775370582,3508.0,2.649,0.883,2.363,2.1928934010152283,985.0,2020,RB Leipzig
Sam Lammers,8000000.0,7000000.0,2524.0,23,Attack,191.0,0,1,2.301,0.852,2.556,1.3062409288824384,689.0,15.423,4.26,2.301,2.2030026109660574,3064.0,2020,Atalanta BC
Fabiano Parisi,450000.0,250000.0,2890.0,20,Defender,178.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Empoli
Rúnar Alex Rúnarsson,2000000.0,1200000.0,2524.0,25,Goalkeeper,186.0,0,0,0.0,0.0,0.0,2.1,900.0,0.0,0.0,4.62,1.72,2250.0,2020,Arsenal
Dimitrios Limnios,3300000.0,4000000.0,2524.0,22,Attack,178.0,0,0,4.481999999999999,4.9319999999999995,9.189,1.2157330154946364,2517.0,2.016,3.21,9.561,1.0780669144981412,2421.0,2020,1.FC Köln
Jorge Cuenca,3840000.0,2300000.0,2890.0,21,Defender,190.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Villarreal
Bertrand Traoré,18400000.0,9500000.0,2159.0,25,Attack,181.0,1,0,1.521,2.7720000000000002,4.62,1.8243243243243243,1480.0,7.065,2.4450000000000003,4.293,2.1717791411042944,2445.0,2020,Aston Villa
Chuba Akpom,4320000.0,3200000.0,1794.0,25,Attack,183.0,0,1,6.9479999999999995,2.2409999999999997,3.0629999999999997,1.8551236749116609,1698.0,6.1259999999999994,3.885,8.142,1.1291165708311552,1913.0,2020,Middlesbrough
Sergio Reguilón,30000000.0,25000000.0,1794.0,24,Defender,178.0,1,1,2.4530000000000003,4.309,16.308,0.7659574468085106,3055.0,0.0,2.4530000000000003,6.431,1.1024498886414253,1796.0,2020,Tottenham
Diogo Jota,44700000.0,28000000.0,2524.0,24,Attack,178.0,0,1,12.373,3.985,10.791,1.4117647058823528,3060.0,9.597,6.194,7.0,1.4555256064690028,2597.0,2020,Liverpool
Ki-Jana Hoever,9800000.0,3600000.0,1794.0,18,Defender,183.0,0,1,0.0,0.0,0.597,0.0,90.0,0.0,0.0,0.0,1.0714285714285714,84.0,2020,Wolves
Thiago Alcántara,22000000.0,48000000.0,365.0,29,Midfield,174.0,0,1,2.7750000000000004,1.194,9.132,1.3004032258064515,2976.0,2.447,7.6690000000000005,12.235,0.997957397140356,3427.0,2020,Liverpool
Jean-Daniel Akpa Akpro,12700000.0,600000.0,1794.0,28,Midfield,180.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Lazio
Andrea Pinamonti,21000000.0,13500000.0,1794.0,21,Attack,185.0,0,1,5.864,2.465,4.67,2.2304832713754648,2421.0,4.67,2.802,3.736,2.885326757090012,1622.0,2020,Inter
Dimitrios Siovas,1000000.0,4800000.0,365.0,32,Defender,191.0,1,0,0.0,0.0,4.640000000000001,1.4761431411530817,2012.0,0.928,0.597,10.805,1.1970306217135787,3233.0,2020,SD Huesca
Baptiste Santamaria,10000000.0,7000000.0,1794.0,25,Midfield,183.0,0,1,0.924,0.924,11.088000000000001,1.1851556264964087,2506.0,0.924,0.0,12.012,1.358176778564829,3247.0,2020,SC Freiburg
Jordi Mboula,1700000.0,1800000.0,2159.0,21,Attack,183.0,0,1,0.0,0.0,0.0,7.154811715481172,239.0,0.0,0.0,0.0,4.821428571428571,336.0,2020,RCD Mallorca
Milan Badelj,1950000.0,2000000.0,1794.0,31,Midfield,186.0,0,1,0.934,0.0,5.604,1.75963197239793,1739.0,0.934,0.0,0.0,2.6532195500387896,1289.0,2020,Genoa
Emiliano Martínez,17400000.0,8000000.0,3255.0,28,Goalkeeper,195.0,0,1,0.0,0.0,5.984999999999999,0.9243243243243242,1850.0,0.0,0.0,0.597,0.0,90.0,2020,Aston Villa
