Feature 1,Feature 2,Correlation
Goal creating actions p 90,carries final 3rd,-0.03
Shot creating actions p 90,adjusted_assists_season2,0.03
Passes blocked,Tackles Won,-0.03
% Penalty saves,Shot creating actions p 90,-0.03
Passes into penalty area,adjusted_assists_season1,0.03
Matches Played,season,-0.03
Progressive Carries,goals_conceded_per_90_season1,0.03
carries_prgc,goals_conceded_per_90_season1,0.03
Errors made,season,0.03
Saves,Shot creating actions p 90,-0.03
% Successful take-ons,Pass completion %,0.03
% Shots on target,adjusted_clean_sheet_season1,0.03
Shots p 90,adjusted_clean_sheet_season1,0.03
Total Shots,adjusted_clean_sheet_season1,0.03
Assists p 90,Passes into penalty area,0.03
Goals & Assists,Passes into penalty area,0.03
is_tier1_nation,transfer_fee,0.03
Saves,height_in_cm,-0.03
Passes blocked,minutes_played_season2,0.03
Possessions lost,Shot creating actions p 90,-0.03
Take ons attempted,adjusted_clean_sheet_season2,0.03
% Dribbles tackled,goals_conceded_per_90_season2,-0.03
Tackles Won,adjusted_clean_sheet_season2,0.03
Interceptions,is_tier1_nation,0.03
% Dribbles tackled,Passes into penalty area,0.03
Interceptions,Possessions lost,-0.03
Progressive Passes,Shot creating actions p 90,0.03
adjusted_clean_sheet_season2,height_in_cm,-0.03
Passes blocked,Progressive Passes,-0.02
% Short pass completed,carries penalty area,0.02
% Penalty saves,Key passes,0.02
% Dribbles tackled,Pass completion %,-0.02
Tackles attempted,carries penalty area,0.02
height_in_cm,minutes_played_season1,0.02
carries final 3rd,goals_conceded_per_90_season2,-0.02
Take ons attempted,minutes_played_season2,0.02
Assists p 90,minutes_played_season2,-0.02
Goals & Assists,minutes_played_season2,-0.02
Tackles attempted,Times tackled during take-on,0.02
% Penalty saves,season,0.02
is_tier1_nation,touches_def_pen,-0.02
% Dribbles tackled,adjusted_assists_season1,0.02
Crosses Stopped,carries final 3rd,0.02
Shot creating actions p 90,touches_def_pen,0.02
carries penalty area,goals_conceded_per_90_season1,-0.02
% Dribbles tackled,Assists p 90,0.02
% Dribbles tackled,Goals & Assists,0.02
Times tackled during take-on,Total Shots,-0.02
Times tackled during take-on,carries_prgc,-0.02
Times tackled during take-on,carries penalty area,-0.02
Shots p 90,Times tackled during take-on,-0.02
Progressive Carries,Times tackled during take-on,-0.02
% Shots on target,carries penalty area,-0.02
% Shots on target,Times tackled during take-on,-0.02
Progressive Carries,Shots p 90,-0.02
Shots p 90,carries penalty area,-0.02
Shots p 90,carries_prgc,-0.02
Progressive Carries,carries penalty area,-0.02
Total Shots,carries_prgc,-0.02
carries penalty area,carries_prgc,-0.02
Progressive Carries,Total Shots,-0.02
Total Shots,carries penalty area,-0.02
% Shots on target,carries_prgc,-0.02
% Shots on target,Progressive Carries,-0.02
Key passes,Passes blocked,-0.02
Tackles Won,height_in_cm,-0.02
height_in_cm,season,-0.02
Crosses Stopped,Tackles attempted,-0.02
Passes blocked,adjusted_clean_sheet_season2,0.02
Passes blocked,days_left_on_contract,-0.02
Avg Mins per Match,season,-0.02
Pass completion %,Passes Attempted,0.02
days_left_on_contract,has_advanced_stats,0.02
Goals & Assists,goals_conceded_per_90_season1,0.02
Assists p 90,goals_conceded_per_90_season1,0.02
Pass completion %,minutes_played_season1,-0.02
adjusted_assists_season2,days_left_on_contract,-0.02
Passes into penalty area,Tackles Won,0.02
% Successful take-ons,Shot creating actions p 90,0.02
Clearances,Progressive Passes,0.02
% Short pass completed,Take ons attempted,-0.02
% Penalty saves,transfer_fee,-0.02
Tackles attempted,adjusted_assists_season2,-0.02
1/3,Times tackled during take-on,-0.02
Crosses Stopped,adjusted_assists_season1,-0.02
1/3,Progressive Passes,-0.02
% Medium passes completed,is_tier1_nation,0.02
% Successful take-ons,days_left_on_contract,-0.02
goals_conceded_per_90_season1,is_tier1_nation,-0.02
Assists p 90,Crosses Stopped,-0.02
Crosses Stopped,Goals & Assists,-0.02
Shot creating actions p 90,adjusted_clean_sheet_season1,-0.02
Goal creating actions p 90,goals_conceded_per_90_season2,0.02
Errors made,carries final 3rd,-0.02
Clearances,goals_conceded_per_90_season1,0.02
Assists p 90,age,-0.02
Goals & Assists,age,-0.02
Key passes,height_in_cm,0.02
Take ons attempted,goals_conceded_per_90_season2,-0.02
Crosses Stopped,carries penalty area,0.01
% Short pass completed,% Successful take-ons,-0.01
% Medium passes completed,Progressive Passes,-0.01
Key passes,Pass completion %,-0.01
Pass completion %,touches_def_pen,-0.01
Matches Played,height_in_cm,0.01
Avg Mins per Match,height_in_cm,0.01
Tackles Won,carries final 3rd,0.01
Errors made,adjusted_assists_season1,0.01
Clearances,Total Shots,-0.01
Clearances,Shots p 90,-0.01
% Shots on target,Clearances,-0.01
Assists p 90,Errors made,0.01
Errors made,Goals & Assists,0.01
Saves %,adjusted_assists_season1,0.01
Tackles attempted,adjusted_clean_sheet_season2,-0.01
Goals & Assists,Saves %,0.01
Assists p 90,Saves %,0.01
Tackles Won,adjusted_assists_season2,0.01
Progressive passes distance,season,-0.01
has_advanced_stats,height_in_cm,-0.01
% Dribbles tackled,is_tier1_nation,0.01
season,touches_def_pen,0.01
Interceptions,goals_conceded_per_90_season1,-0.01
% Aerial Duels won,Crosses Stopped,0.01
% Long passes completed,adjusted_assists_season2,-0.01
% Penalty saves,Passes blocked,-0.01
% Medium passes completed,Take ons attempted,0.01
% Short pass completed,is_tier1_nation,-0.01
Passes into penalty area,Tackles attempted,0.01
Crosses Stopped,Tackles Won,-0.01
Take ons attempted,season,-0.01
% Short pass completed,carries final 3rd,0.01
height_in_cm,touches_def_pen,-0.01
Pass completion %,Tackles Won,0.01
% Medium passes completed,% Successful take-ons,0.01
Crosses Stopped,Passes blocked,-0.01
carries final 3rd,height_in_cm,-0.01
% Medium passes completed,carries penalty area,-0.01
Goal creating actions p 90,Goals & Assists,-0.01
Assists p 90,Goal creating actions p 90,-0.01
Goal creating actions p 90,adjusted_assists_season1,-0.01
Possessions lost,transfer_fee,-0.01
Interceptions,goals_conceded_per_90_season2,-0.01
Possessions lost,adjusted_clean_sheet_season1,0.01
% Short pass completed,Possessions lost,-0.01
% Medium passes completed,carries final 3rd,-0.01
Crosses Stopped,Key passes,0.01
Crosses Stopped,Interceptions,0.01
Tackles Won,adjusted_clean_sheet_season1,-0.01
% Short pass completed,Passes into penalty area,-0.01
carries penalty area,height_in_cm,-0.01
carries penalty area,goals_conceded_per_90_season2,-0.0
Goal creating actions p 90,Times tackled during take-on,-0.0
Goal creating actions p 90,Possessions lost,0.0
% Medium passes completed,age,-0.0
Errors made,height_in_cm,-0.0
% Shots on target,Goal creating actions p 90,-0.0
Goal creating actions p 90,Shots p 90,-0.0
Goal creating actions p 90,Total Shots,-0.0
Pass completion %,adjusted_assists_season2,0.0
% Aerial Duels won,carries_prgc,-0.0
% Aerial Duels won,Progressive Carries,-0.0
Progressive passes distance,height_in_cm,-0.0
Shot creating actions p 90,age,-0.0
carries final 3rd,days_left_on_contract,-0.0
Progressive Passes,age,0.0
Crosses Stopped,Errors made,0.0
% Short pass completed,Times tackled during take-on,0.0
Total Shots,age,-0.0
Shots p 90,age,-0.0
% Shots on target,age,-0.0
Errors made,goals_conceded_per_90_season1,0.0
adjusted_assists_season2,season,0.0
% Long passes completed,Clearances,-0.0
% Successful take-ons,goals_conceded_per_90_season2,0.0
Passes into penalty area,Possessions lost,-0.0
% Short pass completed,% Shots on target,0.0
% Short pass completed,Shots p 90,0.0
% Short pass completed,Total Shots,0.0
% Dribbles tackled,Crosses Stopped,-0.0
Possessions lost,Saves %,-0.0
Take ons attempted,goals_conceded_per_90_season1,0.0
Tackles attempted,adjusted_clean_sheet_season1,0.0
% Long passes completed,Shots p 90,0.0
% Long passes completed,% Shots on target,0.0
% Long passes completed,Total Shots,0.0
Saves,is_tier1_nation,0.0
% Successful take-ons,adjusted_assists_season2,0.0
Saves %,is_tier1_nation,0.0
% Dribbles tackled,adjusted_clean_sheet_season1,-0.0
