Feature 1,Feature 2,Correlation
Assists p 90,height_in_cm,-0.26
% Long passes completed,touches_def_pen,0.26
age,goals_conceded_per_90_season1,0.26
Progressive Passes,Times tackled during take-on,0.26
Passes Attempted,Tackles Won,0.26
Errors made,adjusted_assists_season2,0.26
adjusted_assists_season2,goals_conceded_per_90_season1,0.26
% Penalty saves,Progressive Passes,0.26
% Short pass completed,Passes Attempted,0.26
Possessions lost,age,-0.26
Progressive passes distance,Tackles Won,0.25
Progressive Carries,is_tier1_nation,-0.25
carries_prgc,is_tier1_nation,-0.25
Times tackled during take-on,is_tier1_nation,-0.25
% Aerial Duels won,goals_conceded_per_90_season2,0.25
Passes Attempted,transfer_fee,0.25
% Medium passes completed,Crosses Stopped,0.25
Progressive Passes,Progressive passes distance,0.25
% Long passes completed,minutes_played_season1,0.25
% Long passes completed,adjusted_clean_sheet_season1,0.25
% Medium passes completed,transfer_fee,0.25
% Short pass completed,Saves,0.25
Passes blocked,Progressive passes distance,0.25
Tackles Won,minutes_played_season1,0.25
Clearances,adjusted_clean_sheet_season1,0.25
touches_def_pen,transfer_fee,0.25
Take ons attempted,age,-0.25
% Medium passes completed,minutes_played_season2,0.25
% Successful take-ons,carries_prgc,0.24
% Successful take-ons,Progressive Carries,0.24
% Medium passes completed,adjusted_clean_sheet_season2,0.24
Progressive passes distance,adjusted_clean_sheet_season2,0.24
% Short pass completed,transfer_fee,0.24
Avg Mins per Match,Progressive Passes,0.24
Matches Played,Progressive Passes,0.24
% Long passes completed,adjusted_clean_sheet_season2,0.24
adjusted_clean_sheet_season2,carries penalty area,0.24
Passes Completed,Tackles attempted,0.24
Possessions lost,minutes_played_season2,-0.24
Passes Completed,Tackles Won,0.24
Take ons attempted,adjusted_clean_sheet_season1,0.24
Avg Mins per Match,minutes_played_season2,0.24
Crosses Stopped,is_left_footed,-0.24
Matches Played,minutes_played_season2,0.24
% Short pass completed,Passes Completed,0.24
Interceptions,adjusted_clean_sheet_season2,0.24
Clearances,goals_conceded_per_90_season2,0.24
% Penalty saves,Passes into penalty area,0.24
% Aerial Duels won,age,-0.24
days_left_on_contract,touches_def_pen,0.23
Saves %,days_left_on_contract,0.23
% Successful take-ons,adjusted_clean_sheet_season1,0.23
age,minutes_played_season1,0.23
Clearances,Take ons attempted,0.23
Passes blocked,touches_def_pen,0.23
% Short pass completed,adjusted_clean_sheet_season2,0.23
% Successful take-ons,Passes into penalty area,0.23
Goal creating actions p 90,Matches Played,-0.23
1/3,Interceptions,0.23
% Dribbles tackled,Passes Completed,0.23
% Dribbles tackled,carries penalty area,0.22
Passes Completed,Passes blocked,0.22
% Penalty saves,Saves %,0.22
Passes into penalty area,Saves %,0.22
Avg Mins per Match,Goal creating actions p 90,-0.22
Errors made,Interceptions,0.22
Possessions lost,adjusted_clean_sheet_season2,-0.22
Matches Played,age,-0.22
age,height_in_cm,-0.22
carries final 3rd,minutes_played_season1,0.22
% Successful take-ons,carries penalty area,0.22
1/3,age,-0.22
1/3,is_tier1_nation,0.22
Key passes,Take ons attempted,0.22
goals_conceded_per_90_season1,transfer_fee,0.22
% Aerial Duels won,% Penalty saves,0.22
% Short pass completed,minutes_played_season2,0.22
age,touches_def_pen,-0.22
goals_conceded_per_90_season2,transfer_fee,0.22
Tackles attempted,age,-0.22
Avg Mins per Match,age,-0.22
carries final 3rd,transfer_fee,0.22
Progressive passes distance,minutes_played_season2,0.22
Tackles Won,adjusted_assists_season1,0.22
% Aerial Duels won,% Medium passes completed,0.22
Crosses Stopped,days_left_on_contract,0.22
Assists p 90,Tackles Won,0.22
Goals & Assists,Tackles Won,0.22
adjusted_clean_sheet_season1,age,0.22
Saves,adjusted_clean_sheet_season2,0.22
carries_prgc,minutes_played_season2,0.22
Progressive Carries,minutes_played_season2,0.22
% Long passes completed,Key passes,0.22
Avg Mins per Match,transfer_fee,0.21
days_left_on_contract,transfer_fee,0.21
Key passes,Shot creating actions p 90,0.21
% Long passes completed,Progressive Passes,0.21
Matches Played,transfer_fee,0.21
Clearances,Times tackled during take-on,0.21
1/3,transfer_fee,0.21
% Short pass completed,Crosses Stopped,0.21
% Successful take-ons,1/3,0.21
% Long passes completed,Saves,0.21
Interceptions,Saves %,0.21
